lecturer;date
H. Syamsu Hudaya | AL-Ustadz Dede Misbah;11-03-2024
AL-Ustadz Dede Misbah | AL-Ustadz Dede Misbah;12-03-2024
Al- Ustadz. Dede Tasmara | Al- Ustadz. Dede Tasmara;13-03-2024
Al-Ustadz Mudrikah Daud | Al-Ustadz Mudrikah Daud;14-03-2024
H. Rakiman | H. Rakiman;15-03-2024
Al-Ustadz H. Lili Jumali | Al-Ustadz H. Lili Jumali;16-03-2024
Al-Ustadz Rahmatullah Arrizal | Faisal Mutaqin;17-03-2024
Al-Ustadz H. Yusuf Burhanudin | AL-Ustadz Dede Misbah;18-03-2024
Al-Ustadz Asep Kusmayadi | AL-Ustadz Dede Misbah;19-03-2024
Al-Ustadz H. Muhamad Ardin | Al-Ustadz. H. Muhamad Ardin;20-03-2024
Al-Ustadz H. Wisnu Wibiksana | Al-Ustadz. H. Wisnu Wibiksana;21-03-2024
H. Djusep | M Juanda;22-03-2024
Al-Ustadz Nurdin S | Al-Ustadz Nurdin S;23-03-2024
H. Awan N | Faisal Muttaqin;24-03-2024
Al-Ustadz K.H Athian Ali M. Da' i,L.c, MA | Al-Ustadz K. H Athian Ali M. Da i, Lc, MA;25-03-2024
HM Suhairi Wahab | AL-Ustadz Dede Misbah;26-03-2024
AL-Ustadz Edi A | AL-Ustadz Edi A;27-03-2024
Al-Ustadz Endi Suhaendi. M.Pd. | Al-Ustadz Endi Suhaendi. M.Pd.;28-03-2024
AL-Ustadz Muslim Arif | AL-Ustadz Muslim Arif;29-03-2024
AL-Ustadz Hafidz Muslim | AL-Ustadz Hafidz Muslim;30-03-2024
AL-Ustadz Dadan Abu Razifa | AL-Ustadz Dadan Abu Razifa;31-03-2024
AL-Ustadz Ahmad Mudrika | M Juanda;01-04-2024
Faisal Muttaqin | Faisal Muttaqun;02-04-2024
AL-Ustadz Rivan | AL-Ustadz Rivan;03-04-2024
M Juanda | M Juanda;04-04-2024
Heru Nughraha N | AL-Ustadz Dede Misbah;05-04-2024
AL-Ustadz Syahidin | AL-Ustadz Syahidin;06-04-2024
Nanda Frawita | M Juanda;07-04-2024
AL-Ustadz Dede Misbah | AL-Ustadz Dede Misbah;08-04-2024
